Status          Feature Name                        Version  Issue #  Edition      Latest Commit Timestamp
accepted        abi_sysv64                          1.24.0   36167    None         2018-03-06 16:02:58 -0800
accepted        associated_consts                   1.20.0   29646    None         2018-03-06 16:02:58 -0800
accepted        associated_types                    1.0.0    None     None         2019-04-28 16:14:21 +0200
accepted        attr_literals                       1.30.0   34981    None         2018-08-03 15:05:05 -0700
accepted        augmented_assignments               1.8.0    28235    None         2019-04-28 16:14:21 +0200
accepted        braced_empty_structs                1.8.0    29720    None         2019-04-28 16:14:21 +0200
accepted        cfg_attr_multi                      1.33.0   54881    None         2019-01-04 12:37:27 +0530
accepted        cfg_target_feature                  1.27.0   29717    None         2018-04-03 11:11:49 -0700
accepted        cfg_target_vendor                   1.33.0   29718    None         2019-01-09 13:30:34 +0530
accepted        clone_closures                      1.26.0   44490    None         2018-03-23 10:57:28 +0100
accepted        closure_to_fn_coercion              1.19.0   39817    None         2018-03-06 16:02:58 -0800
accepted        compile_error                       1.20.0   40872    None         2018-03-06 16:02:58 -0800
accepted        conservative_impl_trait             1.26.0   34511    None         2018-03-21 18:32:44 -0700
accepted        const_indexing                      1.26.0   29947    None         2019-04-28 16:14:21 +0200
accepted        const_let                           1.33.0   48821    None         2018-12-28 20:05:22 +0100
accepted        copy_closures                       1.26.0   44490    None         2018-03-23 10:57:28 +0100
accepted        crate_in_paths                      1.30.0   45477    None         2018-09-20 20:39:46 +0300
accepted        default_type_params                 1.0.0    None     None         2019-04-28 16:14:21 +0200
accepted        deprecated                          1.9.0    29935    None         2018-03-06 16:02:58 -0800
accepted        dotdoteq_in_patterns                1.26.0   28237    None         2018-01-28 03:29:00 +0800
accepted        dotdot_in_tuple_patterns            1.14.0   33627    None         2018-03-06 16:02:58 -0800
accepted        drop_types_in_const                 1.22.0   33156    None         2018-03-06 16:02:58 -0800
accepted        dyn_trait                           1.27.0   44662    None         2018-04-15 09:41:10 -0500
accepted        exhaustive_integer_patterns         1.33.0   50907    None         2018-12-21 21:27:04 +0100
accepted        extern_absolute_paths               1.30.0   44660    None         2018-09-20 20:39:46 +0300
accepted        extern_crate_item_prelude           1.31.0   55599    None         2018-11-17 21:08:00 +0300
accepted        extern_crate_self                   1.34.0   56409    None         2019-01-07 07:09:17 -0800
accepted        extern_prelude                      1.30.0   44660    None         2018-09-20 20:39:46 +0300
accepted        field_init_shorthand                1.17.0   37340    None         2018-03-06 16:02:58 -0800
accepted        fn_must_use                         1.27.0   43302    None         2018-03-10 16:23:28 -0800
accepted        generic_param_attrs                 1.27.0   48848    None         2018-06-02 05:10:29 +0800
accepted        global_allocator                    1.28.0   27389    None         2018-05-31 19:33:13 +0200
accepted        globs                               1.0.0    None     None         2019-04-28 16:14:21 +0200
accepted        i128_type                           1.26.0   35118    None         2018-03-16 19:51:49 -0500
accepted        if_let                              1.0.0    None     None         2019-04-28 16:14:21 +0200
accepted        if_while_or_patterns                1.33.0   48215    None         2019-01-11 23:57:04 +0100
accepted        impl_header_lifetime_elision        1.31.0   15872    None         2018-10-03 00:27:12 -0700
accepted        inclusive_range_syntax              1.26.0   28237    None         2018-01-28 03:19:29 +0800
accepted        infer_outlives_requirements         1.30.0   44493    None         2018-08-28 00:46:08 -0400
accepted        irrefutable_let_patterns            1.33.0   44495    None         2019-01-12 03:10:59 +0000
accepted        issue_5723_bootstrap                1.0.0    None     None         2018-03-06 16:02:58 -0800
accepted        item_like_imports                   1.15.0   35120    None         2018-03-06 16:02:58 -0800
accepted        loop_break_value                    1.19.0   37339    None         2018-03-06 16:02:58 -0800
accepted        macro_at_most_once_rep              1.32.0   48075    None         2018-11-24 16:09:37 -0600
accepted        macro_lifetime_matcher              1.27.0   34303    None         2018-05-02 03:02:05 +0000
accepted        macro_literal_matcher               1.32.0   35625    None         2018-12-21 21:25:32 +0100
accepted        macro_rules                         1.0.0    None     None         2018-03-06 16:02:58 -0800
accepted        macro_vis_matcher                   1.30.0   41022    None         2018-08-25 17:49:45 +0100
accepted        match_beginning_vert                1.25.0   44101    None         2018-03-06 16:02:58 -0800
accepted        match_default_bindings              1.26.0   42640    None         2018-03-26 23:39:29 +0200
accepted        min_const_fn                        1.31.0   53555    None         2018-10-05 12:29:03 +0200
accepted        min_const_unsafe_fn                 1.33.0   55607    None         2018-12-22 18:06:20 +0100
accepted        more_struct_aliases                 1.16.0   37544    None         2018-03-06 16:02:58 -0800
accepted        non_modrs_mods                      1.30.0   44660    None         2018-09-08 19:41:46 -0700
accepted        no_std                              1.6.0    None     None         2019-04-28 16:14:21 +0200
accepted        panic_handler                       1.30.0   44489    None         2018-09-07 12:43:39 +0200
accepted        pattern_parentheses                 1.31.0   51087    None         2018-09-22 17:07:56 -0700
accepted        proc_macro                          1.29.0   38356    None         2018-07-03 15:36:31 -0700
accepted        proc_macro_path_invoc               1.30.0   38356    None         2018-08-18 00:52:34 +0300
accepted        pub_restricted                      1.18.0   32409    None         2018-03-06 16:02:58 -0800
accepted        question_mark                       1.13.0   31436    None         2018-03-06 16:02:58 -0800
accepted        raw_identifiers                     1.30.0   48589    None         2018-08-09 21:51:12 +0100
accepted        relaxed_adts                        1.19.0   35626    None         2018-03-06 16:02:58 -0800
accepted        repr_align                          1.25.0   33626    None         2018-03-06 16:02:58 -0800
accepted        repr_align_enum                     1.37.0   57996    None         2019-05-27 07:26:11 +0200
accepted        repr_packed                         1.33.0   33158    None         2018-12-21 10:18:38 -0800
accepted        repr_transparent                    1.28.0   43036    None         2018-06-06 13:24:16 +0200
accepted        rvalue_static_promotion             1.21.0   38865    None         2018-03-06 16:02:58 -0800
accepted        self_in_typedefs                    1.32.0   49303    None         2018-11-30 03:55:26 +0000
accepted        self_struct_ctor                    1.32.0   51994    None         2018-11-30 02:57:30 +0000
accepted        slicing_syntax                      1.0.0    None     None         2018-03-06 16:02:58 -0800
accepted        static_in_const                     1.17.0   35897    None         2018-03-06 16:02:58 -0800
accepted        static_recursion                    1.17.0   29719    None         2018-03-06 16:02:58 -0800
accepted        struct_field_attributes             1.20.0   38814    None         2018-03-06 16:02:58 -0800
accepted        struct_variant                      1.0.0    None     None         2018-03-06 16:02:58 -0800
accepted        target_feature                      1.27.0   None     None         2018-04-03 11:11:49 -0700
accepted        termination_trait                   1.26.0   43301    None         2018-03-20 22:45:35 -0500
accepted        termination_trait_test              1.27.0   48854    None         2018-06-05 23:28:32 +0530
accepted        test_accepted_feature               1.0.0    None     None         2019-04-28 16:14:21 +0200
accepted        tool_attributes                     1.30.0   44690    None         2018-08-18 00:52:34 +0300
accepted        tool_lints                          1.31.0   44690    None         2018-10-02 10:37:56 +0200
accepted        tuple_indexing                      1.0.0    None     None         2018-03-06 16:02:58 -0800
accepted        type_alias_enum_variants            1.37.0   49683    None         2019-05-31 15:46:08 +0200
accepted        type_macros                         1.13.0   27245    None         2019-04-28 16:14:21 +0200
accepted        underscore_const_names              1.37.0   54912    None         2019-05-30 12:30:03 +0200
accepted        underscore_imports                  1.33.0   48216    None         2018-11-28 02:58:18 +0300
accepted        underscore_lifetimes                1.26.0   44524    None         2018-03-28 17:25:39 +0200
accepted        uniform_paths                       1.32.0   53130    None         2019-02-02 07:42:27 +0100
accepted        universal_impl_trait                1.26.0   34511    None         2018-03-21 17:44:21 -0700
accepted        unrestricted_attribute_tokens       1.34.0   55208    None         2019-02-25 22:40:44 +0300
accepted        used                                1.30.0   40289    None         2018-09-10 14:34:04 +0200
accepted        use_extern_macros                   1.30.0   35896    None         2018-05-14 03:22:52 +0300
accepted        use_nested_groups                   1.25.0   44494    None         2018-03-06 16:02:58 -0800
accepted        while_let                           1.0.0    None     None         2018-03-06 16:02:58 -0800
accepted        windows_subsystem                   1.18.0   37499    None         2018-03-06 16:02:58 -0800
active          aarch64_target_feature              1.27.0   44839    None         2019-04-29 01:46:45 +0200
active          abi_amdgpu_kernel                   1.29.0   51575    None         2018-07-01 22:42:00 -0500
active          abi_msp430_interrupt                1.16.0   38487    None         2018-03-06 16:02:58 -0800
active          abi_ptx                             1.15.0   38788    None         2018-05-26 23:39:31 +0800
active          abi_thiscall                        1.19.0   None     None         2019-04-29 01:46:45 +0200
active          abi_unadjusted                      1.16.0   None     None         2019-04-29 01:46:45 +0200
active          abi_vectorcall                      1.7.0    None     None         2019-04-29 01:46:45 +0200
active          abi_x86_interrupt                   1.17.0   40180    None         2018-03-06 16:02:58 -0800
active          adx_target_feature                  1.32.0   44839    None         2019-04-29 01:46:45 +0200
active          allocator_internals                 1.20.0   None     None         2019-04-29 01:46:45 +0200
active          alloc_error_handler                 1.29.0   51540    None         2018-07-06 15:49:52 +0200
active          allow_fail                          1.19.0   46488    None         2018-11-02 01:43:18 +0300
active          allow_internal_unsafe               1.0.0    None     None         2019-04-29 01:46:45 +0200
active          allow_internal_unstable             1.0.0    None     None         2019-04-29 01:46:45 +0200
active          arbitrary_enum_discriminant         1.37.0   60553    None         2019-05-09 17:08:55 -0400
active          arbitrary_self_types                1.23.0   44874    None         2018-03-06 16:02:58 -0800
active          arm_target_feature                  1.27.0   44839    None         2019-04-29 01:46:45 +0200
active          associated_type_bounds              1.34.0   52662    None         2019-03-21 18:40:00 +0000
active          associated_type_defaults            1.2.0    29661    None         2018-03-06 16:02:58 -0800
active          async_await                         1.28.0   50547    None         2018-06-06 15:50:59 -0700
active          async_closure                       1.37.0   62290    None         2019-07-02 04:10:19 +0200
active          avx512_target_feature               1.27.0   44839    None         2019-04-29 01:46:45 +0200
active          await_macro                         1.28.0   50547    None         2019-04-18 12:55:23 -0700
active          bind_by_move_pattern_guards         1.30.0   15287    None         2018-09-07 17:52:27 +0200
active          box_patterns                        1.0.0    29641    None         2018-03-06 16:02:58 -0800
active          box_syntax                          1.0.0    49733    None         2018-05-25 22:37:25 +0200
active          cfg_doctest                         1.37.0   62210    None         2019-06-28 10:31:27 -0500
active          cfg_target_has_atomic               1.9.0    32976    None         2018-03-06 16:02:58 -0800
active          cfg_target_thread_local             1.7.0    29594    None         2018-03-06 16:02:58 -0800
active          cmpxchg16b_target_feature           1.32.0   44839    None         2019-04-29 01:46:45 +0200
active          compiler_builtins                   1.13.0   None     None         2019-04-29 01:46:45 +0200
active          const_compare_raw_pointers          1.27.0   53020    None         2019-04-29 01:46:45 +0200
